demx8as6@controller:~/workspace/onf/CENTENNIAL/models/tools$ ./build-yang.sh 
[3;J
2017-02-18T17:59:45,561Z | build-yang | INFO  | Start
2017-02-18T17:59:45,573Z | build-yang | INFO  | Folder ./xmi2yang/project cleaned!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/TypeDefinitions/Topology removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/ForwardingDomain/_fdRuleSet removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/ForwardingDomain/_layerProtocolParameterSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/ForwardingConstruct/_configurationAndSwitchControl removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/ForwardingConstruct/_fcSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/ObjectClasses/NetworkControlDomain removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/ObjectClasses/Link removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/ObjectClasses/SdnController removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/LayerProtocol/_lpSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/LogicalTerminationPoint/_ltpSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/LogicalTerminationPoint/_port removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/ObjectClasses/LinkPort removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/ObjectClasses/Topology removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/Resilience/ConfigurationAndSwitchController/_cascSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/ObjectClasses/Resilience/FcRoute removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/Resilience/FcSwitch/_configurationAndSwitchControl removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/Diagrams/Topology removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/Associations/NcdControlsNes removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/Associations/LayerProtocolHasLpSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/Associations/LogicalTerminationPointHasLtpSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreNetworkModel/Associations/Topology removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/ObjectClasses/Address removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/NameAndValue/_nameAndValueAuthority removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/NameAndValue/_globalClass removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/NameAndValue/_localClass removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/AddressElement/_address removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreModelEnhancements removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreOperationsModel/Pattern/ObjectClasses/DesiredOutcomeConstraints removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreOperationsModel/Pattern/ObjectClasses/ElementConstraints removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreOperationsModel/Pattern/ObjectClasses/OperationDetails/_desiredOutcomeConstraints removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreOperationsModel/Pattern/ObjectClasses/OperationSet/abortAfterDurationWithActionRule removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreOperationsModel/Pattern/ObjectClasses/OutcomeElementConstraints removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreOperationsModel/Pattern/ObjectClasses/SpecificClassStructure removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreOperationsModel/Pattern/ObjectClasses/SpecificPattern removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreOperationsModel/Pattern/ObjectClasses/Ltp removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreOperationsModel/Examples removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CorePhysicalModel-Initial/RuleModels/FruNonFruRules removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |   specification: /CoreModel/CorePhysicalModel-Initial/RuleModels/ConnectorRules/Constraints/ConnnectorWithCableConstraint/constraintSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |   specification: /CoreModel/CorePhysicalModel-Initial/EquipmentPatternStructure/ObjectClasses/Cable/CableConnectorConstraint/constraintSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |   specification: /CoreModel/CorePhysicalModel-Initial/EquipmentPatternStructure/ObjectClasses/Connector/ConnectorOwner/constraintSpec removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/EquipmentPatternStructure/ObjectClasses/Equipment/_addressedByHolder removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/EquipmentPatternStructure/ObjectClasses/Equipment/_encapsulatedNonFru removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/EquipmentPatternStructure/ObjectClasses/Equipment/_nonFruSupportPosition removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CorePhysicalModel-Initial/EquipmentSpecification removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CorePhysicalModel-Initial/EquipmentToFunction removed!
2017-02-18T17:59:46.554Z | core-model | INFO  | packagedElement: /CoreModel/CoreSpecificationModel removed!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/ObjectClasses/Name/name set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/ObjectClasses/GlobalClass/uuid set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/NameAndValue/valueName set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/Address/addressName set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/ObjectClasses/Name/name set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/ObjectClasses/GlobalClass/uuid set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/NameAndValue/valueName set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/Address/addressName set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/ObjectClasses/Name/name set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/ObjectClasses/GlobalClass/uuid set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/NameAndValue/valueName set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/Address/addressName set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/ObjectClasses/Name/name set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/ObjectClasses/GlobalClass/uuid set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/NameAndValue/valueName set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreFoundationModel/SuperClassesAndCommonPackages/TypeDefinitions/Address/addressName set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreOperationsModel/Pattern/ObjectClasses/ElementConstraints/_specificClassStructure set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreNetworkModel/ObjectClasses/Resilience/ConfigurationAndSwitchController/switchRule set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/ConnectorAndPin/ObjectClasses/Pin/_position set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/EquipmentSpecification/ObjectClasses/NonFruSupportPosition/_supportedNonFru set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/EquipmentSpecification/ObjectClasses/SupportedEquipment/_fruDetails set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/EquipmentToFunction/ObjectClasses/AtomicFunction/_aggregateFunction set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/EquipmentToFunction/ObjectClasses/FunctionBlock/_atomicFunction set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/EquipmentDetail/ObjectClasses/InvariantDetails/Position/relativePosition set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CorePhysicalModel-Initial/EquipmentSpecification/ObjectClasses/SupportedNonFru/_nonFruDetails set as key!
2017-02-18T17:59:46.554Z | core-model | INFO  |  ownedAttribute: /CoreModel/CoreSpecificationModel/LtpCapability/ObjectClasses/AdapterPropertySpec/_poolPropertySpec set as key!
